teamId,institutionKey,school,mascot,abbreviation,conference,conferenceAbbreviation,sport,type,level,color,alt_color,city,state,latitude,longitude,logo
146,24087,Arizona,Wildcats,ARIZ,Pacific-12,Pac-12,Football,College,P5,#002449,#00205b,Tucson,AZ,32.2288054,-110.9488677,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
11,24012,Maryland,Terrapins,MD,Big Ten,Big-Ten,Football,College,P5,#D5002B,#ffcd00,College Park,MD,38.9903332,-76.9473792,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
73,24043,Michigan State,Spartans,MSU,Big Ten,Big-Ten,Football,College,P5,#18453B,#ffffff,East Lansing,MI,42.7281474,-84.4848526,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
71,24042,Michigan,Wolverines,MICH,Big Ten,Big-Ten,Football,College,P5,#00274c,#00274c,Ann Arbor,MI,42.2658365,-83.7486956,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
75,24044,Minnesota,Golden Gophers,MINN,Big Ten,Big-Ten,Football,College,P5,#981a31,#981a31,Minneapolis,MN,44.976525,-93.2245462,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
458,24024,Missouri,Tigers,MIZ,SEC,SEC,Football,College,P5,#000000,#000000,Columbia,MO,38.9358491,-92.3332009,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png
87,24050,East Carolina,Pirates,ECU,American Athletic,AAC,Football,College,G5,#4b1869,#f0907b,Greenville,NC,35.5968486,-77.364564,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
15,24014,North Carolina,Tar Heels,UNC,ACC,ACC,Football,College,P5,#99bfe5,#13294b,Chapel Hill,NC,35.9069294,-79.0478889,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
37,24025,Nebraska,Cornhuskers,NEB,Big Ten,Big-Ten,Football,College,P5,#F20017,#f5f1e7,Lincoln,NE,40.820682,-96.705594,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png
57,24035,Rutgers,Scarlet Knights,RUTG,Big Ten,Big-Ten,Football,College,P5,#d21034,#ffffff,Piscataway,NJ,40.5136754,-74.4655737,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
137,24081,New Mexico,Lobos,UNM,Mountain West,M-West,Football,College,G5,#000000,#231f20,Albuquerque,NM,35.0669479,-106.6283225,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
